cell,N,K,method,seed,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,dep_violations,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
N40-K3,40,3,B6-noVWprune,2,0.7816091954022989,1.9875922272763362,21853.253052084638,162,258,0,87,68,16,0.223,12
N40-K3,40,3,B6-noVWprune,3,0.717391304347826,2.1000614458000766,22545.691059989902,316,259,0,92,66,21,0.192,16
N40-K3,40,3,B6-noVWprune,4,0.7142857142857143,1.9873805090368837,21234.258098228478,165,254,0,91,65,21,0.226,15
N40-K3,40,3,B4-flat,0,0.625,3.235254274241853,28621.616010928527,93,216,0,104,65,30,0.295,21
N40-K3,40,3,B4-flat,1,0.5408163265306123,4.205612673961815,24895.899297471347,68,180,0,98,53,34,0.2845,21
N40-K3,40,3,B4-flat,2,0.6785714285714286,2.5372222513284184,22575.247299675593,388,210,0,84,57,18,0.223,8
N40-K3,40,3,B4-flat,3,0.5102040816326531,3.824112784757134,20059.667607668813,211,228,0,98,50,31,0.187,16
N40-K3,40,3,B4-flat,4,0.5747126436781609,3.1767028719549124,21082.24572467462,211,180,0,87,50,30,0.226,14
N60-K3,60,3,Ours(T-patrol),0,0.5906040268456376,2.3365570006965597,23056.289063259115,1361,335,0,149,88,42,0.343,36
N60-K3,60,3,Ours(T-patrol),1,0.6715328467153284,2.693247919733643,27540.858843820573,1429,295,0,137,92,32,0.253,25
N60-K3,60,3,Ours(T-patrol),2,0.7355371900826446,2.131698503063754,22473.71218603125,1092,328,0,121,89,25,0.21966666666666668,20
N60-K3,60,3,Ours(T-patrol),3,0.7580645161290323,2.342761559318724,23226.499081179532,900,351,0,124,94,22,0.186,18
N60-K3,60,3,Ours(T-patrol),4,0.7559055118110236,2.1869207906549795,25416.09775485804,838,332,0,127,96,17,0.17833333333333334,12
N60-K3,60,3,B3-hover,0,0.5753424657534246,1.7252915349179963,16822.511097433533,1114,325,0,146,84,48,0.36666666666666664,42
N60-K3,60,3,B3-hover,1,0.6076923076923076,1.444651140731892,16021.707758289314,420,296,0,130,79,43,0.26666666666666666,41
N60-K3,60,3,B3-hover,2,0.6578947368421053,1.390024100651018,15680.465585559852,497,284,0,114,75,29,0.2,26
N60-K3,60,3,B3-hover,3,0.7416666666666667,1.5928130522009738,17437.44198385808,860,325,0,120,89,28,0.13333333333333333,21
N60-K3,60,3,B3-hover,4,0.7043478260869566,1.5027788747101274,17459.62860842594,611,300,0,115,81,23,0.18333333333333332,19
N60-K3,60,3,B2-chase,0,0.6305732484076433,2.8561018921066514,27368.12160096934,2178,350,0,157,99,39,0.254,28
N60-K3,60,3,B2-chase,1,0.5753424657534246,3.131786602791483,23949.475550200317,837,292,0,146,84,38,0.31,34
N60-K3,60,3,B2-chase,2,0.7622950819672131,2.319107485111203,24179.462853694742,923,324,0,122,93,19,0.17933333333333334,15
N60-K3,60,3,B2-chase,3,0.7117117117117117,1.4452520222610734,20318.04660169169,1222,294,0,111,79,26,0.122,18
N60-K3,60,3,B2-chase,4,0.847457627118644,2.33523557943878,22909.374516222757,1026,353,0,118,100,13,0.10133333333333333,8
N60-K3,60,3,B6-noVWprune,0,0.6274509803921569,2.7107350413571005,25789.99759215282,409,369,0,153,96,39,0.343,34
N60-K3,60,3,B6-noVWprune,1,0.6783216783216783,3.058635453907702,29639.25558006603,504,309,0,143,97,33,0.253,25
N60-K3,60,3,B6-noVWprune,2,0.7073170731707317,2.49535300180122,24407.499128412277,209,316,0,123,87,28,0.21966666666666668,22
N60-K3,60,3,B6-noVWprune,3,0.7131147540983607,2.9250010022540995,25892.433457038085,266,328,0,122,87,28,0.186,19
N60-K3,60,3,B6-noVWprune,4,0.8151260504201681,2.6398868586133006,27671.3173592817,287,322,0,119,97,14,0.17833333333333334,8
N60-K3,60,3,B4-flat,0,0.5099337748344371,4.436847870912081,27171.00684415288,394,289,0,151,77,52,0.341,40
N60-K3,60,3,B4-flat,1,0.4883720930232558,4.1172780882261195,24672.439055899504,552,280,0,129,63,48,0.24233333333333335,23
N60-K3,60,3,B4-flat,2,0.4,3.8221686020805286,25856.186225163463,185,171,0,115,46,52,0.22733333333333333,22
N60-K3,60,3,B4-flat,3,0.5819672131147541,3.9684992389268317,28615.536026041045,186,235,0,122,71,34,0.16966666666666666,17
