apps_arrived,apps_done,apps_failed,energy_j,episode,eval_seed,fail_uncovered,frac_unassociated,kind,leo_invalid_attempts,leo_placements,mean_delay_s,reward,success_rate
88,50,32,20122.167118062465,249,4,21,0.238,eval,153,196,3.2159991962075356,-469.34167118062464,0.5681818181818182
,,,,250,,,,train,,,,-533.6809808753751,
,,,,251,,,,train,,,,-286.25363591632066,
,,,,252,,,,train,,,,-465.87317546446207,
,,,,253,,,,train,,,,-565.6068235539775,
,,,,254,,,,train,,,,-330.44513690375544,
,,,,255,,,,train,,,,-285.7936284863395,
,,,,256,,,,train,,,,-550.8473224156476,
,,,,257,,,,train,,,,-479.40161584065186,
,,,,258,,,,train,,,,-392.51676273198814,
,,,,259,,,,train,,,,-399.833310903205,
,,,,260,,,,train,,,,-349.6074228040193,
,,,,261,,,,train,,,,-375.85882486864443,
,,,,262,,,,train,,,,-374.3455892622698,
,,,,263,,,,train,,,,-435.9492730898847,
,,,,264,,,,train,,,,-499.05332062773965,
,,,,265,,,,train,,,,-408.7718638729134,
,,,,266,,,,train,,,,-397.34401602338914,
,,,,267,,,,train,,,,-592.3078498733619,
,,,,268,,,,train,,,,-396.6980235214245,
,,,,269,,,,train,,,,-290.62427526582314,
,,,,270,,,,train,,,,-401.8259612539102,
,,,,271,,,,train,,,,-523.916004900792,
,,,,272,,,,train,,,,-424.17199162874954,
,,,,273,,,,train,,,,-486.41342134841193,
,,,,274,,,,train,,,,-313.3776386627913,
,,,,275,,,,train,,,,-245.78371040746327,
,,,,276,,,,train,,,,-387.6988431369771,
,,,,277,,,,train,,,,-372.42190952976483,
,,,,278,,,,train,,,,-321.8327354761741,
,,,,279,,,,train,,,,-309.7082864836029,
,,,,280,,,,train,,,,-555.4232845981592,
,,,,281,,,,train,,,,-405.6779242403489,
,,,,282,,,,train,,,,-300.0789167536481,
,,,,283,,,,train,,,,-444.1880533959612,
,,,,284,,,,train,,,,-397.33607488228444,
,,,,285,,,,train,,,,-367.69091981338505,
,,,,286,,,,train,,,,-469.85971433502414,
,,,,287,,,,train,,,,-383.8667526421112,
,,,,288,,,,train,,,,-406.7565404582915,
,,,,289,,,,train,,,,-387.11469631106314,
,,,,290,,,,train,,,,-458.0451393357866,
,,,,291,,,,train,,,,-487.95990557623753,
,,,,292,,,,train,,,,-392.06092409186317,
,,,,293,,,,train,,,,-471.7977079129304,
,,,,294,,,,train,,,,-572.7420647010099,
,,,,295,,,,train,,,,-415.4675286044822,
,,,,296,,,,train,,,,-472.9867639792592,
,,,,297,,,,train,,,,-366.4204264307784,
,,,,298,,,,train,,,,-447.0852370133491,
,,,,299,,,,train,,,,-402.80319875758,
98,57,31,22316.418623077567,299,0,21,0.319,eval,205,213,3.3955281034685116,-483.92418623077566,0.5816326530612245
100,58,28,20638.738037334446,299,1,26,0.3075,eval,142,240,3.256395877919695,-442.8873803733446,0.58
80,53,19,22944.115719264933,299,2,10,0.2125,eval,142,197,3.286623027343059,-391.0411571926493,0.6625
95,42,37,22276.208344443457,299,3,15,0.206,eval,443,179,2.9520407270025637,-532.3020834444345,0.4421052631578947
88,50,32,19999.326517836005,299,4,21,0.238,eval,155,197,3.1909369218343135,-468.11326517836005,0.5681818181818182
,,,,300,,,,train,,,,-520.5805421143665,
,,,,301,,,,train,,,,-410.48016899192646,
,,,,302,,,,train,,,,-360.2171372898584,
,,,,303,,,,train,,,,-378.8673651306266,
,,,,304,,,,train,,,,-366.3822064569918,
,,,,305,,,,train,,,,-493.09013063729867,
,,,,306,,,,train,,,,-421.4521397215698,
,,,,307,,,,train,,,,-375.913224455543,
,,,,308,,,,train,,,,-452.71710715067695,
,,,,309,,,,train,,,,-412.3963358348741,
,,,,310,,,,train,,,,-451.43919759237224,
,,,,311,,,,train,,,,-308.93211438728724,
,,,,312,,,,train,,,,-298.91705208555464,
,,,,313,,,,train,,,,-428.8380417423746,
,,,,314,,,,train,,,,-425.51967433385227,
,,,,315,,,,train,,,,-446.64932637467376,
,,,,316,,,,train,,,,-468.1268638371159,
,,,,317,,,,train,,,,-403.1795348449691,
,,,,318,,,,train,,,,-414.24475483818355,
,,,,319,,,,train,,,,-405.7326297797543,
,,,,320,,,,train,,,,-424.4278589434128,
,,,,321,,,,train,,,,-455.5329774792843,
,,,,322,,,,train,,,,-301.1076591873473,
,,,,323,,,,train,,,,-473.8484693098559,
,,,,324,,,,train,,,,-350.58582508774555,
,,,,325,,,,train,,,,-274.77970045972285,
,,,,326,,,,train,,,,-514.8393990317726,
,,,,327,,,,train,,,,-340.6689619263166,
,,,,328,,,,train,,,,-428.02354563662607,
,,,,329,,,,train,,,,-422.47015879579635,
,,,,330,,,,train,,,,-325.4694420668955,
,,,,331,,,,train,,,,-414.510915110755,
,,,,332,,,,train,,,,-265.82448712144014,
,,,,333,,,,train,,,,-358.90781670606543,
,,,,334,,,,train,,,,-434.6276826779889,
,,,,335,,,,train,,,,-569.4640769536794,
,,,,336,,,,train,,,,-469.19357411766885,
