difficulty,ablation,method,episodes,reward_mean,reward_std,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean,target_local,target_uav,target_leo,target_local_rate,target_uav_rate,target_leo_rate,line,scale,seed,area_km,road_km,uav_speed,runtime_s
v2x_hotspot_hard,none,pmeo_e,15,-113.70373783206769,61.90420053686748,0.07081992346880843,0.35442764330192994,83.91666666666667,84.2710943099686,0.9650666666666666,0.03493333333333334,0.12586666666666665,6234,444,822,0.8312,0.0592,0.1096,real,1.0,2024,1.0,0.7,25.0,3.1
v2x_hotspot_hard,none,random,15,-286.69264368888537,140.19269178469958,0.13874977563346616,1.1781406060374844,145.332751448819,146.51089205485647,0.8986666666666666,0.10133333333333333,0.49889037542627773,2476,2437,2587,0.33013333333333333,0.32493333333333335,0.3449333333333333,real,1.0,2024,1.0,0.7,25.0,1.2
v2x_hotspot_hard,none,postmove_exact,15,-107.51923285887172,39.87310905320884,0.0880904516775869,0.4778350898854428,148.9289017775641,149.40673686744955,0.9757333333333335,0.024266666666666672,0.17286666666666667,5828,327,1345,0.7770666666666667,0.0436,0.17933333333333334,real,1.0,12345,1.0,0.7,25.0,2.3
v2x_hotspot_hard,none,current_exact,15,-109.21329497156992,40.3046465019445,0.0882790204648927,0.4756122803381871,148.9289017775641,149.40451405790228,0.9749333333333333,0.025066666666666675,0.1724,5832,337,1331,0.7776,0.04493333333333333,0.17746666666666666,real,1.0,12345,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,predict_tea,15,-109.21319998777771,40.304715608392755,0.08827874695361847,0.47602999878718666,148.9289017775641,149.40493177635128,0.9749333333333333,0.025066666666666675,0.17236666666666664,5832,337,1331,0.7776,0.04493333333333333,0.17746666666666666,real,1.0,12345,1.0,0.7,25.0,2.4
v2x_hotspot_hard,none,follow_tea,15,-113.87734113611359,41.77273574564183,0.08765098345232203,0.46720153338940545,148.05129256613645,148.51849409952584,0.9724,0.027600000000000006,0.1749666666666666,5823,348,1329,0.7764,0.0464,0.1772,real,1.0,12345,1.0,0.7,25.0,2.3
v2x_hotspot_hard,none,pmeo_e,15,-173.638163031417,74.97449827380015,0.10036888077038807,0.45389312889514777,84.75,85.20389312889515,0.9425333333333333,0.05746666666666667,0.17459999999999998,5813,606,1081,0.7750666666666667,0.0808,0.14413333333333334,real,1.0,12345,1.0,0.7,25.0,3.6
v2x_hotspot_hard,none,random,15,-422.39745656121744,148.44284650311306,0.19726613949542582,1.7194880736977134,145.2577133946825,146.9772014683802,0.8454666666666667,0.15453333333333333,0.4936985982734972,2524,2503,2473,0.33653333333333335,0.3337333333333333,0.3297333333333333,real,1.0,12345,1.0,0.7,25.0,1.2
v2x_hotspot_hard,none,postmove_exact,15,-92.5674126745785,56.06188408014722,0.07752389940226338,0.41463847131404624,148.30665792982091,148.72129640113494,0.9805333333333334,0.01946666666666667,0.15276666666666666,6013,291,1196,0.8017333333333333,0.0388,0.15946666666666667,real,1.0,999,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,current_exact,15,-93.67926134996115,57.13109078121245,0.0776137351139534,0.4172800000236495,148.30665792982091,148.72393792984454,0.9799999999999999,0.020000000000000004,0.15226666666666666,6014,296,1190,0.8018666666666666,0.039466666666666664,0.15866666666666668,real,1.0,999,1.0,0.7,25.0,2.1
v2x_hotspot_hard,none,predict_tea,15,-93.67903651365432,57.13067028887529,0.07761323136330711,0.41755039018669743,148.30665792982091,148.7242083200076,0.9799999999999999,0.020000000000000004,0.1522333333333333,6014,296,1190,0.8018666666666666,0.039466666666666664,0.15866666666666668,real,1.0,999,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,follow_tea,15,-99.05130251017437,58.31630017069201,0.07677819152283684,0.4070814371721739,147.5483193837208,147.95540082089295,0.9770666666666667,0.02293333333333334,0.1546,6002,316,1182,0.8002666666666667,0.042133333333333335,0.1576,real,1.0,999,1.0,0.7,25.0,2.4
v2x_hotspot_hard,none,pmeo_e,15,-157.31447915022372,123.99505450625682,0.08821649538253501,0.3956479228955052,83.66666666666667,84.06231458956219,0.9476,0.052400000000000016,0.1541,5994,600,906,0.7992,0.08,0.1208,real,1.0,999,1.0,0.7,25.0,3.4
v2x_hotspot_hard,none,random,15,-356.12820669769843,219.15536578105753,0.165663464557507,1.4346317945647948,144.86344572821827,146.29807752278302,0.8706666666666667,0.12933333333333336,0.49776168682579747,2498,2504,2498,0.3330666666666667,0.33386666666666664,0.3330666666666667,real,1.0,999,1.0,0.7,25.0,1.3
v2x_hotspot_hard,none,postmove_exact,15,-73.58882893405531,22.758643067598623,0.06536031580285748,0.37746888922926664,147.37590810370327,147.75337699293252,0.9869333333333331,0.013066666666666667,0.1294,6199,248,1053,0.8265333333333333,0.03306666666666667,0.1404,real,1.0,314,1.0,0.7,25.0,2.0
v2x_hotspot_hard,none,current_exact,15,-76.04403526788052,26.11926251976202,0.0654698721256377,0.38175061358012685,147.37590810370327,147.75765871728342,0.9857333333333332,0.014266666666666669,0.12856666666666666,6202,257,1041,0.8269333333333333,0.03426666666666667,0.1388,real,1.0,314,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,predict_tea,15,-76.04403526788052,26.11926251976202,0.0654698721256377,0.38175061358012685,147.37590810370327,147.75765871728342,0.9857333333333332,0.014266666666666669,0.12856666666666666,6202,257,1041,0.8269333333333333,0.03426666666666667,0.1388,real,1.0,314,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,follow_tea,15,-82.48041800111083,28.9306856326993,0.06472405640620947,0.3682219265000744,148.81567605356108,149.18389798006112,0.9823999999999999,0.017600000000000005,0.13196666666666665,6188,257,1055,0.8250666666666666,0.03426666666666667,0.14066666666666666,real,1.0,314,1.0,0.7,25.0,2.1
