difficulty,ablation,method,episodes,reward_mean,reward_std,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean,target_local,target_uav,target_leo,target_local_rate,target_uav_rate,target_leo_rate,preset,energy_weight,seed,runtime_s
v2x_hotspot_hard,none,mpc_m_h3,10,-3256.4437845153916,733.4764905731101,0.18128513003156993,8.140211953375228,298.1494094010092,306.28962135438445,0.9007058823529412,0.09929411764705882,0.31390196078431376,31260,6420,13320,0.6129411764705882,0.12588235294117647,0.2611764705882353,k3,0.01,314,53.2
v2x_hotspot_hard,none,pmeo_m,10,-3660.2123330706722,563.6134303595632,0.20077185433502448,8.851630112386047,443.02424584966167,451.87587596204764,0.8929215686274512,0.107078431372549,0.3325343137254902,30289,6796,13915,0.5939019607843137,0.13325490196078432,0.27284313725490195,k3,0.01,555,5.2
v2x_hotspot_hard,none,pmeo_m_eco,10,-3632.6156421773544,603.4873363791565,0.19804207671002308,8.819656399280133,296.581394556956,305.40105095623613,0.8864117647058825,0.11358823529411763,0.33898039215686276,29784,6963,14253,0.584,0.13652941176470587,0.27947058823529414,k3,0.01,555,36.3
v2x_hotspot_hard,none,mpc_m_h3,10,-4147.947104216584,828.2878849704131,0.2030893888022213,8.095690760848731,291.2955305644075,299.39122132525625,0.8621176470588235,0.13788235294117648,0.34377450980392155,29791,8191,13018,0.5841372549019608,0.1606078431372549,0.2552549019607843,k3,0.01,555,53.7
v2x_hotspot_hard,none,pmeo_m,10,-3089.343386956927,378.07812608031185,0.18187645689575666,8.635736652228308,445.1377201363395,453.77345678856784,0.9162745098039216,0.08372549019607843,0.3030294117647059,31869,5612,13519,0.6248823529411764,0.1100392156862745,0.265078431372549,k3,0.01,888,5.2
v2x_hotspot_hard,none,pmeo_m_eco,10,-3031.1157011893047,471.442272320013,0.17908771199834123,8.638556705084245,303.5298132926797,312.1683699977638,0.9114901960784314,0.08850980392156862,0.3083186274509804,31336,5850,13814,0.6144313725490196,0.11470588235294117,0.2708627450980392,k3,0.01,888,36.0
v2x_hotspot_hard,none,mpc_m_h3,10,-3111.789470640545,526.4041005654233,0.17957033675779693,8.495418712176555,306.6853344636037,315.1807531757803,0.9078039215686274,0.09219607843137254,0.3096421568627451,31334,6022,13644,0.6143921568627451,0.11807843137254902,0.2675294117647059,k3,0.01,888,53.8
v2x_hotspot_hard,none,pmeo_m,10,-3573.8180651300127,1046.5770581093784,0.19967792403955203,8.830438883824163,440.2302136444734,449.0606525282975,0.8967450980392158,0.10325490196078431,0.3346813725490196,30168,6623,14209,0.5915294117647059,0.12986274509803922,0.2786078431372549,k3,0.01,999,5.3
v2x_hotspot_hard,none,pmeo_m_eco,10,-3623.1354669360326,823.4806797224029,0.19738159670150632,8.60898460961516,302.280339148735,310.88932375835014,0.8869803921568629,0.11301960784313725,0.34167647058823525,29651,7055,14294,0.5813921568627451,0.13833333333333334,0.28027450980392155,k3,0.01,999,36.4
v2x_hotspot_hard,none,mpc_m_h3,10,-3713.8155483017968,941.3873043634222,0.1975670513372718,8.488848045157727,302.5347384365533,311.0235864817111,0.8825882352941177,0.11741176470588235,0.34314705882352936,29629,7223,14148,0.5809607843137254,0.14162745098039214,0.27741176470588236,k3,0.01,999,54.1
v2x_hotspot_hard,none,pmeo_m,10,-3416.0702295292604,933.6965623882674,0.18142023086862616,7.917957695042905,444.5090944042249,452.4270520992678,0.900078431372549,0.09992156862745097,0.2990049019607843,32350,6367,12283,0.634313725490196,0.12484313725490197,0.24084313725490197,k3,0.01,12345,5.2
v2x_hotspot_hard,none,pmeo_m_eco,10,-3168.5341233086533,872.7920192238124,0.1767965529908034,8.054879174239574,298.41682388131636,306.47170305555585,0.9039019607843137,0.09609803921568628,0.3037598039215686,31794,6219,12987,0.6234117647058823,0.12194117647058823,0.2546470588235294,k3,0.01,12345,36.0
v2x_hotspot_hard,none,mpc_m_h3,10,-3415.2265417223994,1011.8027458574351,0.17944097079267443,7.732264929403412,297.14532575035616,304.87759067975963,0.8923921568627451,0.10760784313725488,0.30619117647058824,31801,6803,12396,0.6235490196078431,0.1333921568627451,0.24305882352941177,k3,0.01,12345,52.5
v2x_hotspot_hard,none,pmeo_m,10,-3276.9497347580955,977.2985114277953,0.191204409709724,8.86408171171346,442.94316352678936,451.8072452385028,0.9093137254901962,0.0906862745098039,0.3193529411764706,30895,6059,14046,0.6057843137254902,0.11880392156862746,0.27541176470588236,k3,0.01,2024,4.9
v2x_hotspot_hard,none,pmeo_m_eco,10,-3093.450094955458,729.5017385865435,0.1868482939259233,8.933036147512787,299.9907597857367,308.92379593324955,0.9102156862745099,0.0897843137254902,0.3248725490196079,30419,5917,14664,0.5964509803921568,0.11601960784313725,0.28752941176470587,k3,0.01,2024,28.5
v2x_hotspot_hard,none,mpc_m_h3,10,-3170.8557031413698,737.8947548008946,0.1873195598561986,8.796021266045377,306.32992660871145,315.1259478747568,0.906843137254902,0.09315686274509802,0.3265588235294118,30403,6072,14525,0.5961372549019608,0.11905882352941176,0.28480392156862744,k3,0.01,2024,39.3
